Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Hiromitsu Miura,Welterweight,5.75,170,71,38,9,6,0
Takeya Mizugaki,Bantamweight,5.58,135,68,35,21,11,2
Roxanne Modafferi,Women's Flyweight,5.58,125,69,37,23,17,0
Bobby Moffett,Featherweight,5.83,145,73,29,14,5,0
Nate Mohr,Lightweight,5.75,155,72,36,9,7,0
Thiago Moises,Lightweight,5.75,155,70,24,12,4,0
Ashkan Mokhtarian,Flyweight,5.5,125,67,34,13,3,0
Suman Mokhtarian,Featherweight,5.83,145,67,27,8,1,0
Jeff Monson,Heavyweight,5.75,247,74,48,43,12,1
Darrell Montague,Flyweight,5.5,125,67,31,13,5,0
Augusto Montano,Welterweight,6.08,170,73,34,15,3,0
Erick Montano,Welterweight,6.0,170,73,33,8,5,0
Nicco Montano,Women's Flyweight,5.42,135,65,30,5,3,0
Steve Montgomery,Welterweight,6.33,185,75,28,8,4,0
James Moontasri,Welterweight,5.83,170,71,31,9,5,0
Todd Moore,Welterweight,5.75,170,71,35,14,5,0
Sergio Moraes,Welterweight,6.0,170,72,37,14,6,1
Marlon Moraes,Bantamweight,5.5,135,67,31,22,6,1
Sheymon Moraes,Featherweight,5.67,145,72,29,11,4,0
John Moraga,Flyweight,5.5,125,66,35,19,7,0
Leonardo Morales,Bantamweight,5.67,135,68,26,5,2,0
Albert Morales,Bantamweight,5.75,135,72,28,7,4,1
Joseph Morales,Flyweight,5.5,125,69,25,9,2,0
Vince Morales,Bantamweight,5.58,135,70,28,9,4,0
Sarah Moras,Women's Bantamweight,5.58,135,67,31,6,6,0
Christian Morecraft,Heavyweight,6.5,260,81,33,7,3,0
Richardson Moreira,Middleweight,6.17,185,72,35,7,4,0
Vinicius Moreira,Light Heavyweight,6.33,205,76,30,9,4,0
Brandon Moreno,Flyweight,5.58,125,70,25,15,5,1
Dan Moret,Lightweight,6.0,155,73,32,13,6,0
Peggy Morgan,Women's Bantamweight,6.08,135,70,39,2,1,0
Alex Morono,Welterweight,5.92,170,72,29,17,5,0
Maryna Moroz,Women's Strawweight,5.58,125,67,28,9,3,0
Gegard Mousasi,Middleweight,6.17,185,76,34,42,6,2
Jamie Moyle,Women's Strawweight,5.08,115,65,30,4,3,0
Su Mudaerji,Bantamweight,5.67,135,72,23,11,4,0
Lauren Mueller,Women's Flyweight,5.42,125,67,27,5,3,0
Belal Muhammad,Welterweight,5.92,170,72,31,16,3,0
Quinn Mulhern,Lightweight,6.25,155,76,35,18,4,0
James Mulheron,Heavyweight,5.83,243,73,31,11,2,0
Jamie Mullarkey,Lightweight,6.0,155,74,25,12,3,0
Pedro Munhoz,Bantamweight,5.5,135,65,33,18,4,0
Mark Munoz,Middleweight,6.0,185,72,41,14,6,0
Makhmud Muradov,Middleweight,6.17,185,75,29,23,6,0
Vince Murdock,Featherweight,5.5,145,66,28,12,3,0
Lauren Murphy,Women's Bantamweight,5.42,125,67,36,11,4,0
Lerone Murphy,Featherweight,5.75,145,73,28,8,0,1
Khalid Murtazaliev,Middleweight,6.0,185,76,26,14,2,0
Nico Musoke,Welterweight,6.0,170,75,33,13,5,0
Magomed Mustafaev,Lightweight,5.67,155,71,31,14,2,0
Elvis Mutapcic,Middleweight,6.0,185,72,33,15,5,1
Rin Nakai,Women's Bantamweight,5.08,135,60,33,16,2,1
