Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
punahele soriano,5.92,185,72,26,3.13,0.37,2.4,0.44,3.0,0.75,0.0,0.0,1.0,5
dmitry sosnovskiy,6.25,240,77,30,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2,1.0,11
ben sosoli,5.75,265,72,29,2.22,0.31,3.56,0.48,0.0,0.0,0.0,0.0,0.78,9
krzysztof soszynski,6.08,205,77,42,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0,0.67,39
george sotiropoulos,5.83,155,71,42,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6,0.7,20
greg soto,5.92,170,73,33,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0,0.8,10
alex soto,5.67,135,71,35,2.95,0.25,5.02,0.59,2.82,0.3,0.0,0.0,0.67,9
joe soto,5.5,135,65,32,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9,0.72,25
andre soukhamthath,5.75,135,70,31,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,0.62,21
jacare souza,6.08,185,72,39,2.71,0.47,2.81,0.62,2.7,0.4,0.6,1.5,0.79,33
kevin souza,6.0,145,74,35,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0,0.83,23
livinha souza,5.25,115,63,28,1.79,0.37,3.45,0.62,3.35,0.5,0.25,1.9,0.87,15
ryan spann,6.42,205,79,28,3.26,0.43,2.54,0.52,0.6,0.33,0.6,2.4,0.77,22
tommy speer,5.83,170,71,35,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,0.79,24
sean spencer,5.83,170,75,32,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,0.67,18
felicia spencer,5.5,145,68,28,3.26,0.51,6.79,0.43,0.82,0.1,0.0,0.8,0.88,8
eric spicely,6.08,185,73,33,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0,0.67,18
daniel spitz,6.58,245,82,29,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0,0.67,9
serghei spivac,6.25,260,78,24,2.65,0.53,4.19,0.51,9.93,0.75,0.0,1.6,0.91,11
daniel spohn,6.33,205,79,35,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5,0.71,21
austin springer,5.67,145,71,32,3.46,0.63,2.68,0.41,4.24,0.44,1.0,1.1,0.77,13
georges st-pierre,5.92,185,76,38,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,0.93,28
andreas stahl,5.92,170,73,31,2.83,0.37,4.74,0.57,1.55,0.66,0.8,0.0,0.82,11
ron stallings,6.17,170,75,36,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0,0.62,21
cody stamann,5.5,135,64,29,4.59,0.47,3.29,0.63,3.28,0.51,0.86,0.0,0.9,20
cristina stanciu,5.25,115,64,25,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7,0.71,7
brian stann,6.08,205,74,39,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,0.67,18
josh stansbury,6.17,205,74,34,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0,0.62,13
clifford starks,6.0,185,77,38,1.94,0.33,2.49,0.58,1.94,1.0,0.6,0.0,0.8,10
kalib starnes,6.25,185,74,44,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,0.6,20
laureano staropoli,6.08,170,71,26,5.03,0.31,4.23,0.59,0.5,1.0,0.66,0.0,0.9,10
damian stasiak,5.42,135,70,29,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6,0.62,16
